User,Rating,Date,ReviewText
Soban Khan,Rated 1 stars out of five stars,21-May-20,"This App Sucks in many ways, 1. They deducted amount for the recharge which was I get failed option. 2. They don't show the record of the failed transaction, I am unable to check failed transaction, which is already deducted from my account. 3. No customer support on app. Seriously only some FAQs which are literally not a single one is helping. Lastly, in 2016 when I was unistalled this just because of the very same problem and after 4 years they are still the same but with UPI."
madhav shinde,Rated 1 stars out of five stars,17-Jun-20,The app only give offer but then offers are not converted into cashback. The offer no mobiwik are fake they didn't give cashback only show off.
Hemendra Kumar,Rated 1 stars out of five stars,07-Jun-20,"There is worst service after Recharge,you do not help and support,I have done a wrong recharge on 20 April 2020 of Tata sky,the Tata sky has reversed the amount on 21 April but you have not credited my account yet."
Rishav,Rated 3 stars out of five stars,13-Jun-20,Quite a good user experience. UI can be improved more.
VAIBHAV PARE,Rated 1 stars out of five stars,13-Jun-20,"🙏🙏🙏🙏 😞😞😞😞😞 ""Please don't trust on this app. They are doing froud cheating from user. Most worst app in all recharge app. I have recharge my mobile number but benefit has not received on my mobile number. Same incident happened on this app. Amount has been debited from my bank account but recharge has not done. I have email to customers care team rise issue on help center but no response found from there side"".""""""😞😞"
md imran motihari,Rated 5 stars out of five stars,13-Jun-20,"It's very easy to use, and its actually perfect for all Transaction oher than all payment apps. Thanx to you (Inventer)"
Venkataraghavan T,Rated 1 stars out of five stars,23-Jun-20,"Not a good app, too many bugs...and afraid to use for financial transactions"
kruti Fozdar,Rated 1 stars out of five stars,16-May-20,"BEWARE, DO NOT USE THIS APP! Had very bad experience upon installing. when I tried to select a bank (SBI), the process of updating my account profile with bank (of online transaction authorization) was not complete, so instead of giving me a message to that effect, the app AUTOMATICALLY SELECTED ANOTHER BANK, WHERE I DID NOT HAVE AN ACCOUNT BUT OTHER FAMILY RELATIVE DID ,(who had to give my SIM NUMBER due to not having a local number at the time). THIS IS VERY SERIOUS ACTION BY APP."
Vishnu Vijayan,Rated 1 stars out of five stars,28-May-20,"It's like a hell...lagging in every aspect, not even having a customer care support team good at solving issues rapidly and the customer care number shown in google is switched off or not reachable whenever we try to reach them...it's so bad... My last issue was like this... When i proceeded some recharge, my money was deducted but it was not reflected in benificiary account when i try to get help...my transaction was not even seen within my transaction history...is'nt funny...!"
sindhu s,Rated 1 stars out of five stars,05-Jun-20,Worst app in terms of service and not a user friendly app and i suggest you guys not even dare to think to lend money from this app. Disgusting and fraudulent. Expecting a call from their team or else will be spreading the same all over the social media.
Chakri Vemu,Rated 1 stars out of five stars,15-Jun-20,"Bad experience. Transaction failed, money got debited but not refunded back. There's no transaction showing in transaction page."
Suraj Choudhary,Rated 4 stars out of five stars,16-Jun-20,"Good payment application,but please add more cashback in money transfer. Thanks."
Sowjanya Nellipudi,Rated 1 stars out of five stars,13-Jun-20,Waste customer support. I have raised a complaint and they are not at all resolving the actual problem. Customer support is very very bad.even a single star is waste for this app.My security pin has been blocked and when I uploaded my documents it is not responding. I have lost 10000 rupees.
chandra prakash Singh,Rated 1 stars out of five stars,13-Jun-20,One star because no option to give less than that ..Worst app .....they cheat people .....no customer support....I have done a IDEA recharge money deducted but recharge not done ......I want my money back.....plz provide working custom support number
Balwinder Singh,Rated 1 stars out of five stars,23-Jun-20,"I can't pay or recharge by any method it always show there is an error from the bank, but other app do not show such notification error from bank"
Argha Chaudhuri,Rated 3 stars out of five stars,05-Jun-20,Reward limit is too low and very complicated. I got 88 supercash which I have to convert to wallet balance but I can redeem only 10 supercash per month that means I need 9 months to redeem it. Actualy they didn't want to give any reward that is why they take this type of complicated procedure.
Technical Ninja,Rated 1 stars out of five stars,06-Jun-20,This app deserve less than 0 star .. there customer care services is very bad ... I lost money when i add this money to wallet than money is successful debited from my account and show send money to wallet account in message .. but in applications show transaction unsuccessful .. and i lost this money
Kuldeep Gill,Rated 5 stars out of five stars,23-Jun-20,great App with great cash back. service is good like phonpe I don't you Paytm.. but mobikiwik is better than Paytm... love this app but I m not getting loan from mobikiwik Pls help how to get instant loan... great aap
Anna Rao,Rated 1 stars out of five stars,02-Apr-20,"వేస్ట్ ఆప్. Waste app. Don't download. A gimmick in other words a type of cheating. Cashback is in otheform, Supercash. Its not cash... It won't be useful. A little amount of the points equivalent to Rs.5 or10 would be converted into cash once in a month. Remaining accumulated points would be not useful. So pls don't download this app."
Nirman Kumar,Rated 1 stars out of five stars,08-Apr-20,"This is the worst app if your pin got blocked as i am following from last 2 months , no satisfactory response comes from the customer care executive. Reset platform is not correct like other online app. Also toll free no is not responding I have tried 10 times in a day for 3 days. But no response. Kindly make a good platform and handy to user."
Gummadi Giri,Rated 1 stars out of five stars,06-May-20,"App keeps lagging and crashing. Device is getting warmer while using this app. All the processes like mobile number verification, adding money to wallet are slow and laggy. This app took 2 minutes to process mobile recharge request and failed. Money was debited from the bank account but recharge was not processed. Very uncomfortable and irritating app layout and performance. I always face trouble with this app. And so, I decided to quit using this app 😠😤😡"
Vishal Khetani,Rated 1 stars out of five stars,19-Jun-20,I can't login my account it's showing already login in another device I not changed my phone seen last 5 year's I have issues to login
Prince Kamboj,Rated 1 stars out of five stars,22-Jun-20,I have done transaction to a merchant and merchant says your transaction is failed but mobikwik is saying transaction is success my money is stuck and Customer care support is not available. Calling them since 12 hours and there is no answere.. Very disappointed by mobikwik.
ROOT OF KEDGE,Rated 1 stars out of five stars,21-Apr-20,"Worst app in playstore..it's fraud app for money...it's simply take money in card, bank and wallet...I do my first sun DTH recharge for 230 through debit card now...finally it becomes ""payment failed and your money credited to your wallet"", it will appear on my phone...but I saw the wallet there is no money...at the same time the money is debited from my account... it's cheating app for money..so don't use anybody...it worst app to loose your money..."
