User,Rating,Date,ReviewText
Prince Soni,Rated 1 stars out of five stars,16-Jun-20,So far app is very good but I raised a complaint on match where I told them that I'm getting a wrong name in display but till now they have not fixed the issue and no response from there end so customer service is very bad in paytm that the main reason for 1 star rating.
Peeyus Raj,Rated 1 stars out of five stars,21-Jun-20,"Totally disgraced I formatted my phone and reinstalled the first app Paytm. I logged in and decided to pay on a number from my bank account. I couldn't pay because at the end it said I don't have a bank account which is working. Now, I call the customer care, and explain everything to them, and those people say this is the wrong department, I am transferring your call to the concerned department. Now I have to explain everything to the second guy. The second guy says why are you using it."
mohit kujur,Rated 1 stars out of five stars,04-Jun-20,I am giving one star because of the recent update... It was all fine until the recent update got rolled out.. before this update i was able to add money to saving account by my visa debit card but now i can't u can do it only if you have rupay debit card.. it will take 5% charges if u try to add money through visa or master debit card.. previous version was better.. thanks to paytm I have to shutdown my paytm saving account and rather go on with gpay or phonepay
Mohit Baid,Rated 1 stars out of five stars,08-Jun-20,"I am using the Paytm App to manage Fastags. Recently, without intimation, Paytm stopped the Fastag deactivate feature. While they continue to activate any deactivated tag, I am unable to deactivate active tags. The customer care's response is a simple, we have deactivated the feature. Makes Paytm unpredictable and unreliable if they arbitrarily disable such an important feature."
harish kumar,Rated 1 stars out of five stars,18-Jun-20,I liked using paytm before. Recently I had to reset my phone and reinstall paytm. After reinstallation I tried link my bank account to paytm using my mobile number. Every time I tried the verification failed and they charged me for mesaages twice for every try. I almost lost Rs.20.00 because of this and now I started to use other apps. Please solve this problem soon or your going to loose some good users....
Bhavesh Kumar,Rated 1 stars out of five stars,06-Jun-20,"It's extremely disappointing to see they have started charging 2% for adding money from credit card, which virtually makes the app useless for me, and I'm sure many. At this time of crisis, I see it as an opportunistic and unethical move, and I guess it's better to use bank UPI directly or credit card than to continue using the services of an unscrupulous company like Paytm. I therefore intend to discontinue using Paytm app for good. Thank you this far. Goodbye!"
Prince chikara,Rated 2 stars out of five stars,08-Jun-20,Now a days they have smartly charging few % on every bill payment in a month also and restriction a limit of 10K monthly for transaction. Now a days we are not able to get the Net banking option for Adding a money in wallet . Guys...!! Don't try to grab the money from user without informing in prior and don't forget the USP of paytm.otherwise people will start looking for other options just like paytm.
Viraj Kulkarni,Rated 2 stars out of five stars,07-Jun-20,"It used to offer various discounts for all categories, now the offers are just mirage. Example - Offer title is attractive but when opened, we see the actual thing - minimum order value should be huge. Stopped using it as I'm not getting any attractive offer and discounts."
Amit Kumar,Rated 2 stars out of five stars,21-Jun-20,App is becoming worst day by day. I've to find bank options. My cashback coupons are also lost after update. I'm finding it worst to use this app. As you guys are making this app so complicated. Planning to uninstall and move to some other simple ui app.
Himanshu Dhingra,Rated 3 stars out of five stars,16-Jun-20,"Average app. It's showing you can pay bill of electricity, water, and also you can recharge your metro card. I have never get these done. Everytime I tried it showed me that there is some issue going on, you can try it later. So I think this is something you should work on."
